TEMP_SERIAL,MODEL_CODE, MODEL_NAME, PRODUCT_SERIAL, CARTON_SERIAL, UPC_SERIAL,CARTON_SERIAL2, UPC_SERIAL2, INSERT_DT
202001001000099,001,PT-VMZ60U7,GA0120099   ,%GA0120098,885170423541,%GA0120099 ,885170423541,2020-02-17 15:22:25,
202002032000099,032,PT-RZ770BU7,GB0150099,%GB0150099,GB0150099,%GB0150099,GB0150099,2020-02-17 15:48:22,
202002001000999,001,PT-VMZ60U7,GA0150999 ,%GA0150999,GA0150999 ,%GA0150999,GA0150999,2020-02-17 15:55:36,
202002001000999,001,PT-VMZ60U7,GA0150999   ,%GA0150999,GA0150999,%GA0150999,GA0150999,2020-02-17 16:46:45,
202002001000999,001,PT-VMZ60U7,GA0150999,%GA0150999,GA0150999,%GA0150999,GA0150999,2020-02-17 16:49:19,
